episode,timestep,reward
392,2000,-310.0021
764,4000,-313.1919
1148,6000,-312.1999
1530,8000,-311.2533
1893,10000,-312.4669
2323,12000,-309.6995
2757,14000,-309.7422
3181,16000,-308.8418
3586,18000,-309.5187
4003,20000,-307.5153
4364,22000,-307.7561
4710,24000,-309.2416
5034,26000,-309.2679
5358,28000,-308.5626
5691,30000,-307.6033
6025,32000,-309.2838
6316,34000,-307.9253
6650,36000,-307.0022
6945,38000,-308.2727
7230,40000,-309.2205
7510,42000,-309.0099
7801,44000,-308.3246
8043,46000,-310.3855
8312,48000,-310.0506
8574,50000,-307.719
8865,52000,-307.8691
9105,54000,-308.1748
9394,56000,-307.5071
9644,58000,-307.9736
9893,60000,-307.2451
10116,62000,-307.9139
10339,64000,-307.7585
10557,66000,-312.2826
10797,68000,-306.0606
11023,70000,-306.948
11239,72000,-308.3007
11465,74000,-307.7826
11637,76000,-308.108
11816,78000,-307.4489
11993,80000,-307.6279
12183,82000,-308.0605
12376,84000,-305.0991
12556,86000,-304.5248
12748,88000,-308.7944
12907,90000,-305.9939
13076,92000,-309.5725
13226,94000,-307.5842
13394,96000,-305.573
13549,98000,-304.5353
13726,100000,-304.4183
13889,102000,-304.926
14042,104000,-306.0294
14189,106000,-305.9864
14313,108000,-311.5125
14465,110000,-305.5325
14611,112000,-309.3523
14759,114000,-309.0125
14902,116000,-304.5321
15036,118000,-304.5386
15162,120000,-304.2738
15290,122000,-306.3383
15410,124000,-305.4937
15547,126000,-303.9314
15657,128000,-308.5565
15801,130000,-307.0973
15934,132000,-303.444
16035,134000,-304.8961
16159,136000,-306.368
16263,138000,-304.5963
16392,140000,-307.101
16514,142000,-307.8844
16641,144000,-308.7467
16754,146000,-307.2566
16853,148000,-307.4386
16955,150000,-311.2366
17036,152000,-306.1787
17131,154000,-309.0464
17231,156000,-303.7159
17319,158000,-305.4964
17395,160000,-308.1988
17472,162000,-307.6972
17549,164000,-309.8692
17643,166000,-310.481
17755,168000,-311.957
17843,170000,-311.7744
17927,172000,-303.7406
18006,174000,-306.4477
18099,176000,-305.0556
18183,178000,-305.3073
18261,180000,-306.6124
18332,182000,-304.7281
18394,184000,-307.8853
18464,186000,-309.2825
18548,188000,-306.7211
18620,190000,-310.4959
18701,192000,-308.8957
18756,194000,-309.7298
18843,196000,-310.3204
18917,198000,-307.7533
19001,200000,-311.773
19097,202000,-307.37
19177,204000,-304.2017
19259,206000,-312.6623
19332,208000,-305.1271
19417,210000,-307.578
19508,212000,-305.9022
19589,214000,-308.8127
19649,216000,-303.1304
19735,218000,-308.0509
19799,220000,-303.7372
19854,222000,-308.4743
19909,224000,-303.8907
19968,226000,-305.9301
20040,228000,-309.6406
20108,230000,-305.6632
20154,232000,-301.1738
20220,234000,-302.8818
20282,236000,-302.7657
20335,238000,-308.1528
20395,240000,-306.5627
20459,242000,-308.2838
20528,244000,-307.1191
20602,246000,-307.8837
20654,248000,-297.8401
20704,250000,-300.8304
20757,252000,-302.9256
20802,254000,-304.6729
20851,256000,-308.788
20899,258000,-306.1816
20950,260000,-305.8847
20991,262000,-303.758
21029,264000,-303.821
21076,266000,-305.3421
21107,268000,-300.7677
21155,270000,-308.125
21199,272000,-302.6685
21249,274000,-304.1465
21298,276000,-304.716
21333,278000,-306.4477
21379,280000,-304.7557
21414,282000,-310.2764
21455,284000,-309.4459
21500,286000,-306.8221
21544,288000,-304.3965
21589,290000,-304.0156
21636,292000,-303.2803
21686,294000,-302.9788
21722,296000,-304.523
21769,298000,-305.4607
21803,300000,-302.246
21856,302000,-306.1395
21894,304000,-306.3752
21931,306000,-298.537
21963,308000,-301.4781
22003,310000,-305.5014
22056,312000,-305.5151
22092,314000,-302.6127
22132,316000,-304.4401
22172,318000,-299.8664
22218,320000,-303.8997
22261,322000,-299.7069
22286,324000,-303.2047
22321,326000,-300.496
22360,328000,-308.2947
22400,330000,-301.6587
22433,332000,-296.06
22473,334000,-302.4929
22523,336000,-302.0671
22562,338000,-296.8864
22618,340000,-301.9855
22666,342000,-299.9208
22700,344000,-302.5189
22737,346000,-298.5033
22778,348000,-304.5038
22806,350000,-303.261
22847,352000,-302.3815
22883,354000,-298.588
22921,356000,-301.2539
22950,358000,-294.1086
22992,360000,-301.3502
23033,362000,-297.9392
23074,364000,-297.6972
23119,366000,-301.0476
23151,368000,-301.1658
23184,370000,-300.9469
23217,372000,-301.3551
23250,374000,-299.4407
23293,376000,-302.6534
23340,378000,-304.4722
23383,380000,-300.4161
23421,382000,-300.5508
23474,384000,-302.4857
23510,386000,-300.5375
23553,388000,-300.0598
23582,390000,-294.8637
23607,392000,-296.2764
23642,394000,-305.022
23665,396000,-303.6118
23701,398000,-298.1926
23732,400000,-298.088
23777,402000,-304.3134
23806,404000,-300.1223
23840,406000,-301.7546
23880,408000,-300.0482
23924,410000,-305.0731
23965,412000,-300.9189
24004,414000,-302.7634
24042,416000,-295.4587
24069,418000,-298.1702
24107,420000,-301.3734
24134,422000,-297.3874
24166,424000,-294.6201
24199,426000,-294.8836
24238,428000,-303.5711
24279,430000,-308.9279
24305,432000,-295.5047
24334,434000,-299.8539
24368,436000,-297.3276
24402,438000,-301.2672
24441,440000,-306.5087
24488,442000,-303.1973
24527,444000,-298.4512
24560,446000,-302.886
24596,448000,-298.871
24626,450000,-300.74
24657,452000,-296.8748
24679,454000,-288.897
24712,456000,-296.4854
24732,458000,-299.8675
24756,460000,-295.892
24785,462000,-293.0412
24807,464000,-293.6469
24837,466000,-301.9405
24871,468000,-299.6496
24894,470000,-296.3207
24914,472000,-290.3681
