episode,timestep,reward
284,2000,-302.4958
550,4000,-304.8247
827,6000,-303.4626
1073,8000,-304.3961
1301,10000,-300.683
1537,12000,-300.1269
1759,14000,-299.6432
1999,16000,-302.4384
2210,18000,-297.6128
2398,20000,-297.2154
2617,22000,-293.8563
2818,24000,-292.9803
3018,26000,-292.5173
3231,28000,-289.4416
3449,30000,-294.4429
3633,32000,-294.3373
3823,34000,-294.6715
3988,36000,-292.4287
4169,38000,-291.6946
4336,40000,-291.4861
4508,42000,-287.6466
4670,44000,-287.3735
4847,46000,-288.228
5016,48000,-288.9787
5157,50000,-286.8609
5315,52000,-283.7843
5469,54000,-287.1837
5632,56000,-283.233
5798,58000,-287.5268
5948,60000,-287.6171
6107,62000,-282.0247
6269,64000,-282.9716
6416,66000,-282.5503
6564,68000,-286.1261
6723,70000,-285.1601
6877,72000,-286.5303
7034,74000,-284.0412
7179,76000,-282.6439
7330,78000,-281.54
7488,80000,-284.662
7643,82000,-282.0804
7808,84000,-282.6399
7923,86000,-280.4528
8079,88000,-275.4795
8235,90000,-281.9006
8381,92000,-282.8428
8529,94000,-281.7344
8669,96000,-279.9945
8799,98000,-278.1883
8941,100000,-278.9783
9091,102000,-280.2545
9226,104000,-275.369
9380,106000,-280.8391
9522,108000,-284.2661
9671,110000,-286.7787
9816,112000,-283.2824
9948,114000,-279.9256
10080,116000,-282.1311
10204,118000,-276.3066
10353,120000,-283.2437
10501,122000,-282.7814
10637,124000,-281.1387
10759,126000,-279.8632
10876,128000,-281.1805
11005,130000,-279.3228
11152,132000,-279.6557
11303,134000,-281.6675
11427,136000,-280.3115
11567,138000,-278.8968
11690,140000,-281.2737
11810,142000,-281.2772
11931,144000,-276.5074
12067,146000,-278.7531
12181,148000,-281.4664
12321,150000,-281.2233
12446,152000,-278.5201
12560,154000,-274.8247
12689,156000,-283.567
12815,158000,-280.77
12951,160000,-274.7047
13080,162000,-279.6591
13204,164000,-277.2923
13336,166000,-278.6591
13449,168000,-282.383
13554,170000,-277.4128
13666,172000,-282.8035
13802,174000,-278.9246
13948,176000,-279.8564
14071,178000,-279.0541
14205,180000,-279.5605
14330,182000,-278.0438
14438,184000,-277.196
14542,186000,-281.3146
14699,188000,-279.6228
14826,190000,-281.3462
14967,192000,-278.143
