episode,timestep,reward
234,2000,-248.3048
502,4000,-260.5112
758,6000,-257.598
1028,8000,-257.4798
1274,10000,-248.5404
1532,12000,-246.5749
1778,14000,-245.2442
2009,16000,-243.3501
2212,18000,-240.621
2458,20000,-238.4264
2679,22000,-239.3086
2913,24000,-239.5859
3146,26000,-244.1053
3384,28000,-240.0289
3575,30000,-222.6893
3786,32000,-232.9588
3976,34000,-229.75
4190,36000,-232.1052
4376,38000,-224.291
4607,40000,-236.6867
4815,42000,-228.7555
5007,44000,-225.8368
5209,46000,-231.4165
5403,48000,-229.1794
5593,50000,-227.6219
5792,52000,-227.0368
5983,54000,-220.2715
6179,56000,-223.3866
6356,58000,-218.2012
6543,60000,-220.0659
6731,62000,-223.7736
6902,64000,-214.933
7074,66000,-219.7648
7249,68000,-218.188
7417,70000,-216.8081
7601,72000,-216.428
7756,74000,-211.0963
7908,76000,-208.5589
8071,78000,-213.6365
8217,80000,-206.5031
8384,82000,-213.0958
8549,84000,-214.4285
8731,86000,-213.589
8903,88000,-211.5898
9082,90000,-208.0382
9208,92000,-211.1027
9360,94000,-204.1664
9505,96000,-205.2416
9645,98000,-206.2139
9800,100000,-207.9601
9947,102000,-209.6904
10114,104000,-202.4382
10265,106000,-205.6524
10408,108000,-202.1019
10553,110000,-209.5161
10697,112000,-208.7835
10836,114000,-205.728
10967,116000,-195.9655
11106,118000,-200.773
11247,120000,-203.532
11381,122000,-203.8158
11528,124000,-203.6816
11676,126000,-202.8908
11801,128000,-195.903
11926,130000,-198.5459
12053,132000,-198.6158
12196,134000,-206.9851
12310,136000,-208.1111
12455,138000,-192.7169
12591,140000,-198.8075
12718,142000,-206.7701
12848,144000,-199.4283
12951,146000,-199.7515
13080,148000,-202.8555
13202,150000,-200.9724
13350,152000,-207.5858
13466,154000,-198.4053
13605,156000,-205.3592
13731,158000,-196.8005
13866,160000,-202.0689
13995,162000,-202.582
14114,164000,-198.4757
14226,166000,-193.1099
14354,168000,-203.6442
14461,170000,-199.0405
14568,172000,-190.7315
14683,174000,-201.4926
14789,176000,-199.6571
14904,178000,-198.7687
15025,180000,-206.8206
15158,182000,-206.0478
15270,184000,-194.5808
15386,186000,-199.4227
15498,188000,-192.2539
15649,190000,-204.1722
15786,192000,-206.0581
15906,194000,-200.9945
16028,196000,-192.6624
16140,198000,-203.0966
16276,200000,-200.8001
16406,202000,-201.2662
16517,204000,-198.9312
16637,206000,-206.4019
