episode,timestep,reward
137,2000,-249.652
282,4000,-257.0574
447,6000,-258.2184
584,8000,-254.8241
719,10000,-259.1135
854,12000,-250.2553
996,14000,-258.5523
1117,16000,-254.1507
1241,18000,-253.2804
1369,20000,-259.8235
1501,22000,-252.9361
1614,24000,-255.1215
1737,26000,-248.463
1881,28000,-261.6791
2005,30000,-250.1095
2140,32000,-254.133
2249,34000,-248.4277
2385,36000,-254.316
2527,38000,-255.2273
2667,40000,-262.4579
2773,42000,-254.2722
2905,44000,-251.9721
3034,46000,-255.222
3155,48000,-251.851
3293,50000,-262.3816
3423,52000,-254.4118
3546,54000,-248.4989
3679,56000,-255.5075
3795,58000,-253.0086
3907,60000,-254.7377
4042,62000,-264.7786
4175,64000,-257.6484
4304,66000,-254.4215
4455,68000,-257.761
4572,70000,-253.3014
4725,72000,-252.1341
4853,74000,-258.099
4975,76000,-253.9066
5097,78000,-252.7419
5218,80000,-245.7859
5359,82000,-254.0966
5498,84000,-260.897
5623,86000,-255.1146
5731,88000,-260.6816
5854,90000,-248.6956
5975,92000,-247.0307
6104,94000,-258.74
6219,96000,-246.2549
6361,98000,-256.0302
6484,100000,-251.6324
6611,102000,-253.8375
6725,104000,-245.7479
6845,106000,-249.0169
6958,108000,-240.9444
7083,110000,-253.3992
7214,112000,-253.7425
7357,114000,-256.8301
7480,116000,-253.6706
7598,118000,-253.7543
7722,120000,-256.8527
7834,122000,-252.4799
7953,124000,-245.2303
8081,126000,-258.0073
8201,128000,-248.8913
8323,130000,-246.1958
8468,132000,-245.3551
8580,134000,-246.6206
8697,136000,-251.7343
8817,138000,-247.4213
8930,140000,-241.2831
9065,142000,-256.0798
9180,144000,-253.2018
9295,146000,-254.6054
9399,148000,-243.3895
9528,150000,-256.7458
9641,152000,-252.0847
9770,154000,-253.5508
9871,156000,-245.7803
9979,158000,-246.315
10109,160000,-259.4932
10227,162000,-251.8962
10336,164000,-257.4924
10458,166000,-256.9891
10560,168000,-249.181
10660,170000,-244.9846
10764,172000,-244.2136
10875,174000,-246.5113
10980,176000,-252.6531
11099,178000,-254.8473
11239,180000,-245.3679
11346,182000,-248.2771
11445,184000,-243.19
11554,186000,-244.8812
11672,188000,-248.9951
11767,190000,-234.124
11888,192000,-256.9988
11986,194000,-241.6778
12107,196000,-256.3923
12229,198000,-251.0128
12338,200000,-246.0456
12448,202000,-251.8765
12557,204000,-248.9063
12672,206000,-251.3916
12799,208000,-257.3893
12913,210000,-247.4721
13018,212000,-257.7546
13154,214000,-253.2885
13267,216000,-256.7598
13364,218000,-232.6837
13479,220000,-244.8411
13574,222000,-239.5423
13680,224000,-243.4352
13800,226000,-248.2816
13929,228000,-250.2498
14037,230000,-237.4239
14136,232000,-242.085
14261,234000,-250.1903
14351,236000,-245.1192
14477,238000,-252.009
14587,240000,-253.1197
14673,242000,-256.564
14785,244000,-246.8253
14874,246000,-235.3544
14989,248000,-258.4974
15085,250000,-235.1456
15175,252000,-237.845
15267,254000,-245.5383
15354,256000,-248.8755
15459,258000,-243.2854
15549,260000,-244.8742
15631,262000,-239.0917
15711,264000,-240.4028
15797,266000,-224.8003
15894,268000,-244.4859
15986,270000,-243.6488
16086,272000,-248.373
16174,274000,-239.9091
16264,276000,-242.2793
16365,278000,-240.6393
16446,280000,-235.167
16545,282000,-245.3353
16651,284000,-246.8842
16736,286000,-246.361
16818,288000,-236.5662
16925,290000,-250.3491
17020,292000,-235.8608
17113,294000,-232.1403
17217,296000,-243.6761
17318,298000,-244.7034
17413,300000,-248.0227
17524,302000,-250.4665
