episode,timestep,reward
341,2000,-290.9637
687,4000,-293.2644
1053,6000,-290.955
1412,8000,-292.329
1729,10000,-292.6038
2073,12000,-289.2336
2434,14000,-294.7482
2788,16000,-291.3922
3146,18000,-294.0062
3485,20000,-293.2362
3824,22000,-291.856
4115,24000,-292.6109
4468,26000,-293.6181
4808,28000,-295.6365
5132,30000,-291.8533
5440,32000,-296.2356
5788,34000,-293.7272
6109,36000,-294.0437
6447,38000,-290.9621
6784,40000,-291.4747
7149,42000,-292.4198
7488,44000,-293.4434
7836,46000,-291.211
8174,48000,-293.3914
8470,50000,-290.637
8811,52000,-293.2218
9118,54000,-293.0925
9450,56000,-293.1211
9775,58000,-296.8167
10106,60000,-294.324
10433,62000,-294.1508
10724,64000,-293.8869
11044,66000,-293.3077
11370,68000,-294.0055
11687,70000,-293.4847
11995,72000,-296.4467
12304,74000,-294.5658
12632,76000,-294.0626
12942,78000,-292.5961
13250,80000,-293.8462
13546,82000,-292.6961
13856,84000,-293.4457
14164,86000,-291.5473
14463,88000,-289.9816
14766,90000,-292.9018
15067,92000,-291.9771
15319,94000,-296.0931
15632,96000,-293.0134
15939,98000,-294.9541
16263,100000,-294.0397
16589,102000,-291.6511
16890,104000,-291.7526
17147,106000,-293.5848
17472,108000,-289.9115
17775,110000,-291.5447
18079,112000,-293.4921
18346,114000,-294.3463
18673,116000,-293.0005
18976,118000,-289.8467
19311,120000,-294.3651
19606,122000,-294.6741
19886,124000,-293.0493
20152,126000,-294.8453
20441,128000,-294.0386
20722,130000,-291.9842
21029,132000,-292.4196
21323,134000,-294.8671
21582,136000,-293.5372
21879,138000,-292.515
22160,140000,-293.247
22415,142000,-293.632
22661,144000,-292.1848
22950,146000,-293.2668
23212,148000,-291.8485
23438,150000,-293.0702
23683,152000,-296.0593
23952,154000,-294.2277
24194,156000,-295.1009
24453,158000,-292.8471
24735,160000,-295.4821
24979,162000,-292.1562
25222,164000,-294.1888
25477,166000,-296.3283
25733,168000,-294.305
25985,170000,-297.1492
26227,172000,-297.72
26480,174000,-293.7913
26712,176000,-294.563
26982,178000,-293.4086
27256,180000,-297.5264
27518,182000,-295.2128
27791,184000,-296.9808
28066,186000,-294.9487
28349,188000,-295.1651
28618,190000,-295.054
28875,192000,-292.3987
29160,194000,-296.9572
29420,196000,-294.9189
29632,198000,-300.0377
29899,200000,-297.1403
30118,202000,-295.7452
30348,204000,-296.2879
30610,206000,-297.3049
30849,208000,-299.1098
31083,210000,-296.4172
31334,212000,-295.6884
31570,214000,-293.6925
31825,216000,-295.2024
32094,218000,-295.675
32348,220000,-296.627
32595,222000,-293.5802
32856,224000,-297.8696
33099,226000,-294.8677
33322,228000,-296.4206
33533,230000,-296.0875
33772,232000,-295.9481
34018,234000,-296.4749
34234,236000,-295.5337
34479,238000,-295.2983
34719,240000,-294.2995
34980,242000,-293.5014
35227,244000,-296.7608
35489,246000,-298.3583
35765,248000,-294.8082
36010,250000,-297.4936
36252,252000,-295.4528
36454,254000,-298.7771
36708,256000,-297.5649
36937,258000,-296.9661
37195,260000,-294.8432
37438,262000,-297.1928
37695,264000,-298.7805
37955,266000,-296.2577
38151,268000,-294.6743
38399,270000,-295.9937
38627,272000,-296.9564
38840,274000,-302.4932
39093,276000,-297.7671
39317,278000,-295.5901
39547,280000,-296.4962
39782,282000,-293.6317
39998,284000,-295.3117
40256,286000,-296.09
40463,288000,-297.4648
40710,290000,-297.12
40907,292000,-293.5731
41147,294000,-297.4711
41332,296000,-297.5365
41564,298000,-298.1041
41788,300000,-293.9875
41995,302000,-298.5644
42253,304000,-296.4135
42475,306000,-300.4571
42701,308000,-298.2997
42922,310000,-297.4981
43154,312000,-300.096
43358,314000,-298.7613
43565,316000,-299.693
43803,318000,-298.0175
44043,320000,-296.3694
44251,322000,-298.0514
44495,324000,-297.9422
44686,326000,-294.4821
44899,328000,-298.7103
45072,330000,-298.7076
45269,332000,-299.0854
45520,334000,-298.8526
45732,336000,-298.8403
45956,338000,-298.1401
46161,340000,-299.3275
46373,342000,-301.7541
46599,344000,-296.6439
46805,346000,-301.0968
47002,348000,-298.9937
47187,350000,-295.0667
47393,352000,-299.2608
47583,354000,-295.0493
47773,356000,-299.1671
47963,358000,-302.1463
48164,360000,-298.937
48363,362000,-300.9843
48531,364000,-300.2014
48736,366000,-303.9671
48952,368000,-299.3642
49165,370000,-297.9373
49337,372000,-298.6395
49523,374000,-301.1218
49715,376000,-298.9576
49876,378000,-297.1924
50099,380000,-295.618
50286,382000,-301.2988
50503,384000,-300.2201
50690,386000,-298.7477
50881,388000,-298.087
51065,390000,-294.8912
51284,392000,-298.4465
51499,394000,-298.8449
51711,396000,-299.017
51918,398000,-295.9332
52102,400000,-294.6788
52315,402000,-298.1831
52493,404000,-299.4142
52689,406000,-300.0055
52901,408000,-302.8358
53109,410000,-299.1952
53254,412000,-297.188
53445,414000,-300.504
53641,416000,-297.998
53873,418000,-298.1326
54061,420000,-299.8784
54243,422000,-301.1006
54425,424000,-299.4502
54608,426000,-298.5341
54840,428000,-297.306
55048,430000,-301.7835
55263,432000,-296.8152
55456,434000,-303.1128
55646,436000,-299.0977
55868,438000,-300.902
56067,440000,-297.7735
56267,442000,-298.2764
56423,444000,-297.453
56609,446000,-298.0342
56804,448000,-296.1853
56989,450000,-298.9342
57175,452000,-304.1073
57380,454000,-300.8138
57575,456000,-296.7529
57757,458000,-297.6542
57963,460000,-298.4323
58150,462000,-300.4442
58354,464000,-300.1901
58529,466000,-298.3524
58731,468000,-299.7516
58908,470000,-304.7093
59076,472000,-297.1748
59289,474000,-300.0669
59458,476000,-298.3529
59620,478000,-296.4017
59810,480000,-297.6682
60017,482000,-297.6066
60190,484000,-300.6175
60361,486000,-297.6241
60513,488000,-294.9327
60711,490000,-299.1873
60912,492000,-300.4067
61107,494000,-296.8902
61295,496000,-299.5414
61474,498000,-298.498
61658,500000,-295.8186
61834,502000,-301.7669
62021,504000,-300.0069
62204,506000,-293.6374
62404,508000,-298.7804
62603,510000,-299.0378
62800,512000,-298.8649
62988,514000,-303.5462
63193,516000,-296.3374
63370,518000,-297.7411
63540,520000,-299.2518
63720,522000,-298.4531
63910,524000,-299.1074
64100,526000,-299.0704
64283,528000,-297.5785
64450,530000,-296.9886
64600,532000,-299.1216
64786,534000,-296.2466
64975,536000,-300.3328
65159,538000,-298.2206
65342,540000,-298.937
65519,542000,-302.0895
65685,544000,-301.6315
65829,546000,-304.5108
66011,548000,-294.6824
66206,550000,-302.4728
66365,552000,-297.0021
66524,554000,-296.6422
66705,556000,-303.9048
66889,558000,-300.7634
67048,560000,-298.8759
67227,562000,-300.0181
67425,564000,-299.0055
67599,566000,-301.8169
67767,568000,-299.0357
67933,570000,-297.9022
68110,572000,-296.8377
68279,574000,-299.8794
68458,576000,-297.5981
68643,578000,-302.4113
68842,580000,-301.0404
69043,582000,-301.5311
69224,584000,-296.794
69393,586000,-300.2011
69570,588000,-300.1813
69745,590000,-297.0771
69900,592000,-297.6657
70092,594000,-297.5785
70259,596000,-298.2818
70435,598000,-301.0507
70622,600000,-299.6634
70773,602000,-299.7283
70952,604000,-300.115
71142,606000,-297.9173
71316,608000,-297.199
71490,610000,-297.5405
71643,612000,-298.1481
71829,614000,-300.8243
72011,616000,-301.5189
72198,618000,-302.6537
72380,620000,-300.8127
72553,622000,-298.0948
72704,624000,-302.1927
72861,626000,-303.2572
73062,628000,-297.1279
73254,630000,-299.9255
73445,632000,-300.5303
73618,634000,-300.7555
73808,636000,-301.0989
74011,638000,-296.6402
74199,640000,-296.7929
74401,642000,-302.7419
74562,644000,-299.4087
74722,646000,-298.4798
74863,648000,-300.3328
75021,650000,-303.336
75213,652000,-301.0407
75344,654000,-301.1618
75528,656000,-298.4261
75722,658000,-299.4158
75879,660000,-300.8204
76069,662000,-304.9998
76234,664000,-301.6108
76397,666000,-300.0146
76586,668000,-298.2045
76734,670000,-302.0152
76930,672000,-301.5889
77082,674000,-302.7496
77236,676000,-298.5088
77412,678000,-301.4812
77607,680000,-301.5325
77785,682000,-301.176
77917,684000,-298.5373
78090,686000,-302.5197
78240,688000,-294.7919
78424,690000,-304.2264
78604,692000,-304.3387
78753,694000,-297.621
78934,696000,-301.3543
79111,698000,-307.6399
79289,700000,-300.3676
79469,702000,-300.3966
79633,704000,-306.925
79793,706000,-303.9031
79950,708000,-299.1731
80093,710000,-301.4943
80234,712000,-296.7689
80417,714000,-304.6874
80594,716000,-296.7308
80745,718000,-302.2242
80911,720000,-301.196
81082,722000,-302.9779
81261,724000,-298.9625
81445,726000,-299.1701
81612,728000,-304.3969
81763,730000,-299.6484
81918,732000,-303.6593
82062,734000,-302.3427
82202,736000,-299.6538
82378,738000,-301.183
82536,740000,-297.9327
82693,742000,-299.0634
82871,744000,-298.7331
83018,746000,-303.6933
83170,748000,-297.6639
83347,750000,-303.4773
83516,752000,-300.6679
83676,754000,-298.1657
83841,756000,-297.7088
83999,758000,-298.2874
84162,760000,-298.5539
84342,762000,-298.2343
84496,764000,-302.5367
84647,766000,-301.8929
84819,768000,-300.1251
84966,770000,-300.7543
85147,772000,-304.6443
85309,774000,-298.762
85473,776000,-302.5676
85605,778000,-298.0295
85739,780000,-299.0109
85875,782000,-305.4233
86023,784000,-296.8095
86154,786000,-305.5303
86309,788000,-300.8887
86460,790000,-302.5739
86610,792000,-304.1507
86749,794000,-300.0677
86887,796000,-299.0652
87037,798000,-303.101
87194,800000,-304.308
87315,802000,-301.8446
87489,804000,-302.6945
87659,806000,-302.0393
87814,808000,-300.3568
87945,810000,-302.6434
88065,812000,-304.5527
88207,814000,-298.4348
88369,816000,-298.0607
88520,818000,-305.5855
88694,820000,-299.1945
88872,822000,-302.4034
89037,824000,-301.5988
89191,826000,-302.5782
89345,828000,-301.556
89501,830000,-305.4373
89681,832000,-301.6126
89843,834000,-301.7483
90020,836000,-303.8217
90165,838000,-299.4004
90305,840000,-304.4457
90481,842000,-299.9229
90621,844000,-297.5604
90761,846000,-300.4305
90884,848000,-296.2029
91019,850000,-296.6826
91169,852000,-299.6495
91325,854000,-298.4492
91448,856000,-300.1002
91583,858000,-302.7244
91718,860000,-302.643
91844,862000,-306.012
92004,864000,-307.4324
92161,866000,-302.0344
92306,868000,-300.659
92446,870000,-299.2624
92579,872000,-305.272
92716,874000,-301.1303
92843,876000,-296.9883
92986,878000,-303.3055
93157,880000,-303.4907
93301,882000,-299.6642
93472,884000,-297.1671
93625,886000,-300.4153
93756,888000,-300.2403
93922,890000,-300.3613
94075,892000,-302.1308
94197,894000,-301.6635
94352,896000,-305.1731
94506,898000,-303.182
94659,900000,-305.3513
94807,902000,-303.0821
94966,904000,-303.9997
95112,906000,-303.5011
95268,908000,-300.4215
95411,910000,-299.2194
95553,912000,-300.2234
95709,914000,-298.1611
95856,916000,-302.323
95976,918000,-304.5361
96104,920000,-304.0905
96276,922000,-299.2358
96434,924000,-302.7346
96572,926000,-302.2183
96702,928000,-304.8387
96851,930000,-301.3093
96981,932000,-304.7447
97141,934000,-300.733
97296,936000,-306.2419
97422,938000,-307.4799
97569,940000,-302.3481
97724,942000,-304.9142
97872,944000,-302.7875
98026,946000,-304.4298
98171,948000,-302.4328
98346,950000,-301.4148
98497,952000,-300.6276
98621,954000,-300.5285
98762,956000,-301.3233
98919,958000,-303.9929
99068,960000,-300.4021
99232,962000,-300.5426
99394,964000,-302.5541
99521,966000,-298.5585
99688,968000,-301.4691
99829,970000,-300.2795
99976,972000,-301.8786
100110,974000,-302.1642
100286,976000,-302.281
100419,978000,-297.1875
100566,980000,-299.3649
100699,982000,-303.2726
100835,984000,-299.8195
100956,986000,-304.6931
101077,988000,-304.8188
