episode,timestep,reward
251,2000,-311.9509
500,4000,-314.5074
769,6000,-312.5494
1025,8000,-313.3376
1284,10000,-311.4065
1507,12000,-312.3916
1759,14000,-311.0621
2015,16000,-307.1513
2253,18000,-305.7205
2517,20000,-309.8888
2786,22000,-305.3221
3022,24000,-307.3056
3285,26000,-307.3365
3554,28000,-304.9128
3801,30000,-306.1227
4051,32000,-305.7367
4280,34000,-305.164
4532,36000,-306.7268
4785,38000,-306.2845
5045,40000,-304.8103
5289,42000,-303.8926
5526,44000,-303.722
5755,46000,-301.8263
5989,48000,-303.0275
6247,50000,-303.3647
6467,52000,-302.0687
6702,54000,-305.0062
6942,56000,-299.3594
7186,58000,-303.9721
7413,60000,-299.2777
7664,62000,-300.8042
7901,64000,-299.6276
8135,66000,-303.2155
8384,68000,-298.943
8618,70000,-300.076
8854,72000,-299.2816
9072,74000,-298.3067
9304,76000,-297.3793
9516,78000,-298.3193
9759,80000,-301.2422
9981,82000,-299.3542
10219,84000,-301.1364
10451,86000,-300.6356
10668,88000,-300.3305
10905,90000,-297.4337
11127,92000,-298.3014
11378,94000,-297.2942
11600,96000,-297.1063
11820,98000,-300.4806
12060,100000,-297.3378
12295,102000,-297.9343
12526,104000,-296.5379
12718,106000,-296.5141
12944,108000,-295.221
13160,110000,-293.1884
13380,112000,-294.2511
13593,114000,-297.824
13794,116000,-295.1942
14040,118000,-295.8675
14237,120000,-295.064
14446,122000,-295.5616
14661,124000,-295.2452
14894,126000,-296.5831
15102,128000,-292.0426
15310,130000,-293.9546
15497,132000,-297.0638
15699,134000,-297.6059
15891,136000,-290.8579
16135,138000,-295.1683
16338,140000,-294.1007
16560,142000,-296.0657
16764,144000,-298.3389
16984,146000,-293.2454
17194,148000,-292.8655
17427,150000,-294.9803
17630,152000,-296.4115
17844,154000,-296.0849
18078,156000,-295.3448
18285,158000,-295.2733
18477,160000,-293.759
18713,162000,-294.6775
18933,164000,-290.1466
19142,166000,-294.1337
19338,168000,-293.7921
19550,170000,-290.9698
19766,172000,-293.2303
19979,174000,-292.4378
20185,176000,-293.2618
20378,178000,-293.7116
20578,180000,-291.6343
20785,182000,-294.9405
20978,184000,-293.5895
21204,186000,-293.3473
21436,188000,-290.2438
21650,190000,-290.9365
21850,192000,-295.1657
22078,194000,-292.9882
22278,196000,-296.1678
22517,198000,-294.4041
22728,200000,-297.9551
22946,202000,-293.0549
23111,204000,-289.4952
23303,206000,-291.5022
23557,208000,-295.2923
23776,210000,-294.2958
23971,212000,-292.5082
24148,214000,-290.8159
24403,216000,-294.2651
24620,218000,-295.3123
24838,220000,-291.8727
25047,222000,-293.4946
25263,224000,-292.6409
25421,226000,-296.0832
25604,228000,-295.0334
25817,230000,-291.6847
26025,232000,-293.7698
26215,234000,-290.8881
26400,236000,-293.7113
26586,238000,-292.8491
26792,240000,-290.5937
26991,242000,-289.2232
27220,244000,-293.6272
27445,246000,-294.3751
27653,248000,-297.0668
27865,250000,-290.6246
28033,252000,-288.0016
28209,254000,-289.8443
28386,256000,-288.9407
28559,258000,-292.2782
28727,260000,-287.6164
28915,262000,-292.2965
29115,264000,-290.8776
29282,266000,-287.4448
29464,268000,-287.9984
29654,270000,-289.9166
29844,272000,-291.9904
30013,274000,-288.9611
30199,276000,-288.997
30364,278000,-287.0605
30554,280000,-291.7176
30733,282000,-289.0887
30910,284000,-287.2783
31088,286000,-288.7117
31265,288000,-290.9734
31429,290000,-289.9994
31575,292000,-285.1251
31717,294000,-286.0732
31894,296000,-291.1373
32063,298000,-290.6897
32210,300000,-292.1898
32361,302000,-283.0242
32534,304000,-292.5805
32707,306000,-288.6784
32871,308000,-290.082
33049,310000,-288.8078
33214,312000,-289.8907
33369,314000,-291.5949
33542,316000,-287.3544
33733,318000,-294.0133
33929,320000,-294.2955
34106,322000,-290.6331
34261,324000,-289.7333
34453,326000,-293.5383
34611,328000,-289.0613
34776,330000,-288.2137
34947,332000,-287.5638
35111,334000,-289.3953
35277,336000,-291.3809
35434,338000,-290.7329
35582,340000,-288.4619
35748,342000,-290.8541
35898,344000,-287.5682
36052,346000,-286.2656
36211,348000,-293.5143
36372,350000,-293.5978
36558,352000,-291.7342
36718,354000,-288.6552
36862,356000,-289.0751
37032,358000,-290.7473
37205,360000,-289.8938
37363,362000,-290.5875
37505,364000,-291.3694
37651,366000,-285.2182
37809,368000,-289.5145
37978,370000,-293.8306
38129,372000,-287.1393
38294,374000,-293.1008
38472,376000,-287.8763
38636,378000,-287.8914
38793,380000,-287.7369
38959,382000,-289.335
39124,384000,-289.8118
39301,386000,-289.3589
39463,388000,-292.965
39625,390000,-291.2987
39754,392000,-291.5782
39905,394000,-287.1932
40042,396000,-290.4415
40180,398000,-293.5002
40354,400000,-289.1464
40502,402000,-287.0826
