episode,timestep,reward
63,600,-304.7608
127,1200,-305.4601
206,1800,-310.579
283,2400,-311.2361
363,3000,-305.8176
444,3600,-305.1422
504,4200,-308.4101
580,4800,-307.3833
641,5400,-304.4564
714,6000,-303.6734
802,6600,-303.3371
889,7200,-304.9934
960,7800,-300.6712
1044,8400,-303.8989
1111,9000,-304.5417
1183,9600,-302.2402
1255,10200,-302.4308
1325,10800,-305.977
1406,11400,-301.8094
1487,12000,-306.187
1562,12600,-305.4702
1655,13200,-307.1992
1742,13800,-306.3136
1821,14400,-302.6726
1882,15000,-301.2066
1951,15600,-302.9709
2024,16200,-307.4039
2100,16800,-302.6175
2172,17400,-293.0562
2244,18000,-306.1143
2299,18600,-293.6392
2371,19200,-301.406
2445,19800,-302.3566
2521,20400,-299.4507
2607,21000,-297.9856
2654,21600,-297.4122
2722,22200,-297.6531
2796,22800,-300.3157
2877,23400,-300.8694
2941,24000,-302.0444
3002,24600,-297.6443
3080,25200,-298.6287
3148,25800,-298.4128
3211,26400,-300.4596
3274,27000,-297.432
3344,27600,-303.9504
3426,28200,-304.7718
3488,28800,-297.4314
3559,29400,-293.546
3623,30000,-301.9927
3683,30600,-300.6959
3734,31200,-303.1051
3794,31800,-302.6321
3867,32400,-298.7951
3953,33000,-297.5445
4031,33600,-299.7429
4104,34200,-297.05
4164,34800,-297.8627
4228,35400,-304.0195
4284,36000,-298.9658
4370,36600,-299.2498
4431,37200,-303.4817
4496,37800,-292.8565
4566,38400,-301.2208
4630,39000,-296.6663
4702,39600,-299.4525
4772,40200,-298.1437
4870,40800,-301.3225
4938,41400,-294.5315
5026,42000,-297.1551
5083,42600,-300.0342
5150,43200,-291.8848
5219,43800,-295.6453
5287,44400,-297.3018
5356,45000,-298.9422
5434,45600,-301.1936
5487,46200,-296.3041
5547,46800,-289.4105
5623,47400,-299.8648
5681,48000,-295.0947
5742,48600,-295.0699
5818,49200,-298.6907
5895,49800,-295.1777
5962,50400,-295.6374
6018,51000,-299.5464
6091,51600,-295.7954
6155,52200,-292.1224
6215,52800,-296.1847
6287,53400,-293.8175
6356,54000,-290.661
6419,54600,-297.8945
6482,55200,-290.6058
6557,55800,-295.8357
6635,56400,-292.7303
6708,57000,-292.9179
6776,57600,-297.0844
6847,58200,-302.5027
6909,58800,-298.5986
6974,59400,-299.1884
7032,60000,-294.638
7111,60600,-297.1673
7180,61200,-295.4081
7246,61800,-300.4923
7323,62400,-299.7067
7387,63000,-300.0024
7453,63600,-291.6845
7516,64200,-296.5078
7592,64800,-293.8992
7669,65400,-296.8576
7739,66000,-290.2733
7803,66600,-294.2785
7864,67200,-297.9367
7936,67800,-298.5147
8006,68400,-294.9974
8064,69000,-294.941
8119,69600,-299.1797
8163,70200,-294.3636
8227,70800,-294.7529
8303,71400,-295.2806
8358,72000,-296.4247
8423,72600,-295.9654
8502,73200,-293.6633
8563,73800,-289.0834
8636,74400,-290.7434
8714,75000,-290.7164
8788,75600,-292.6246
8841,76200,-293.5751
8901,76800,-293.349
8967,77400,-291.1434
9038,78000,-290.7124
9114,78600,-293.149
9187,79200,-295.8628
9248,79800,-286.2731
9317,80400,-296.9688
9397,81000,-294.4581
9470,81600,-294.8631
9526,82200,-290.9409
9591,82800,-292.1256
9671,83400,-292.52
9747,84000,-295.0253
9802,84600,-293.518
9877,85200,-301.3388
9938,85800,-298.6192
10021,86400,-296.4175
10085,87000,-290.0717
10139,87600,-298.3211
10211,88200,-297.4081
10274,88800,-290.4772
10340,89400,-293.635
10402,90000,-299.0029
10457,90600,-289.2681
10525,91200,-289.9834
10589,91800,-295.5302
10655,92400,-295.7046
10734,93000,-298.6159
10801,93600,-291.2901
10871,94200,-291.7424
10940,94800,-292.2771
11011,95400,-293.7362
11079,96000,-295.0208
11151,96600,-293.4136
11210,97200,-290.9601
11284,97800,-299.0035
11337,98400,-291.1945
11395,99000,-296.5804
11462,99600,-300.2169
11542,100200,-292.8431
11609,100800,-288.5912
11679,101400,-297.295
11740,102000,-292.1242
11813,102600,-292.1427
11869,103200,-291.4048
